Date,Wind speed m/s
6/15/2024 17:45:55,3.6
6/15/2024 17:45:55,1.2
6/15/2024 17:45:56,1.2
6/15/2024 17:45:56,3.6
6/15/2024 17:45:57,1.2
6/15/2024 17:45:57,2.4
6/15/2024 17:45:58,3.6
6/15/2024 17:45:58,1.2
6/15/2024 17:45:59,2.4
6/15/2024 17:45:59,1.2
6/15/2024 17:46:00,2.4
6/15/2024 17:46:00,1.2
6/15/2024 17:46:01,2.4
6/15/2024 17:46:01,1.2
6/15/2024 17:46:02,3.6
6/15/2024 17:46:02,2.4
6/15/2024 17:46:03,2.4
6/15/2024 17:46:03,2.4
6/15/2024 17:46:04,2.4
6/15/2024 17:46:04,2.4
6/15/2024 17:46:05,3.6
6/15/2024 17:46:05,1.2
6/15/2024 17:46:06,3.6
6/15/2024 17:46:06,2.4
6/15/2024 17:46:07,3.6
6/15/2024 17:46:07,1.2
6/15/2024 17:46:08,2.4
6/15/2024 17:46:08,3.6
6/15/2024 17:46:09,2.4
6/15/2024 17:46:09,2.4
6/15/2024 17:46:10,1.2
6/15/2024 17:46:10,3.6
6/15/2024 17:46:11,2.4
6/15/2024 17:46:11,1.2
6/15/2024 17:46:12,3.6
6/15/2024 17:46:12,2.4
6/15/2024 17:46:13,3.6
6/15/2024 17:46:13,1.2
6/15/2024 17:46:14,4.8
6/15/2024 17:46:14,2.4
6/15/2024 17:46:15,1.2
6/15/2024 17:46:15,2.4
6/15/2024 17:46:16,2.4
6/15/2024 17:46:16,1.2
6/15/2024 17:46:17,2.4
6/15/2024 17:46:17,1.2
6/15/2024 17:46:18,2.4
6/15/2024 17:46:18,2.4
6/15/2024 17:46:19,1.2
6/15/2024 17:46:19,1.2
6/15/2024 17:46:20,2.4
6/15/2024 17:46:20,2.4
6/15/2024 17:46:21,1.2
6/15/2024 17:46:21,2.4
6/15/2024 17:46:22,2.4
6/15/2024 17:46:22,1.2
6/15/2024 17:46:23,2.4
6/15/2024 17:46:23,2.4
6/15/2024 17:46:24,2.4
6/15/2024 17:46:24,1.2
6/15/2024 17:46:25,2.4
6/15/2024 17:46:25,1.2
6/15/2024 17:46:26,2.4
6/15/2024 17:46:26,1.2
6/15/2024 17:46:27,2.4
6/15/2024 17:46:27,1.2
6/15/2024 17:46:28,2.4
6/15/2024 17:46:28,2.4
6/15/2024 17:46:29,4.8
6/15/2024 17:46:29,2.4
6/15/2024 17:46:30,2.4
6/15/2024 17:46:30,2.4
6/15/2024 17:46:31,2.4
6/15/2024 17:46:31,2.4
6/15/2024 17:46:32,1.2
6/15/2024 17:46:32,2.4
6/15/2024 17:46:33,1.2
6/15/2024 17:46:33,3.6
6/15/2024 17:46:34,2.4
6/15/2024 17:46:34,2.4
6/15/2024 17:46:35,3.6
6/15/2024 17:46:35,2.4
6/15/2024 17:46:36,2.4
6/15/2024 17:46:36,2.4
6/15/2024 17:46:37,3.6
6/15/2024 17:46:37,1.2
6/15/2024 17:46:38,3.6
6/15/2024 17:46:38,2.4
6/15/2024 17:46:39,1.2
6/15/2024 17:46:39,4.8
6/15/2024 17:46:40,2.4
6/15/2024 17:46:40,2.4
6/15/2024 17:46:41,2.4
6/15/2024 17:46:41,2.4
6/15/2024 17:46:42,2.4
6/15/2024 17:46:42,2.4
6/15/2024 17:46:43,2.4
6/15/2024 17:46:43,2.4
6/15/2024 17:46:44,2.4
6/15/2024 17:46:44,1.2
6/15/2024 17:46:45,2.4
6/15/2024 17:46:45,1.2
6/15/2024 17:46:46,2.4
6/15/2024 17:46:46,2.4
6/15/2024 17:46:47,2.4
6/15/2024 17:46:47,2.4
6/15/2024 17:46:48,2.4
6/15/2024 17:46:48,2.4
6/15/2024 17:46:49,2.4
6/15/2024 17:46:49,2.4
6/15/2024 17:46:50,2.4
6/15/2024 17:46:50,2.4
6/15/2024 17:46:51,2.4
6/15/2024 17:46:51,2.4
6/15/2024 17:46:52,2.4
6/15/2024 17:46:52,4.8
6/15/2024 17:46:53,2.4
6/15/2024 17:46:53,2.4
6/15/2024 17:46:54,2.4
6/15/2024 17:46:54,3.6
6/15/2024 17:46:55,2.4
6/15/2024 17:46:55,1.2
6/15/2024 17:46:56,2.4
6/15/2024 17:46:56,1.2
6/15/2024 17:46:57,1.2
6/15/2024 17:46:57,2.4
6/15/2024 17:46:58,0
6/15/2024 17:46:58,2.4
6/15/2024 17:46:59,2.4
6/15/2024 17:46:59,2.4
6/15/2024 17:47:00,0
6/15/2024 17:47:00,2.4
6/15/2024 17:47:01,2.4
6/15/2024 17:47:02,2.4
6/15/2024 17:47:02,2.4
6/15/2024 17:47:03,0
6/15/2024 17:47:03,2.4
6/15/2024 17:47:04,2.4
6/15/2024 17:47:04,2.4
6/15/2024 17:47:05,0
6/15/2024 17:47:05,2.4
6/15/2024 17:47:06,2.4
6/15/2024 17:47:06,2.4
6/15/2024 17:47:07,2.4
6/15/2024 17:47:07,2.4
6/15/2024 17:47:08,3.6
6/15/2024 17:47:08,2.4
6/15/2024 17:47:09,2.4
6/15/2024 17:47:09,3.6
6/15/2024 17:47:10,2.4
6/15/2024 17:47:10,2.4
6/15/2024 17:47:11,2.4
6/15/2024 17:47:11,4.8
6/15/2024 17:47:12,2.4
6/15/2024 17:47:12,2.4
6/15/2024 17:47:13,3.6
6/15/2024 17:47:13,1.2
6/15/2024 17:47:14,1.2
6/15/2024 17:47:14,4.8
6/15/2024 17:47:15,4.8
6/15/2024 17:47:15,2.4
6/15/2024 17:47:16,3.6
6/15/2024 17:47:16,3.6
6/15/2024 17:47:17,1.2
6/15/2024 17:47:17,3.6
6/15/2024 17:47:18,3.6
6/15/2024 17:47:18,3.6
6/15/2024 17:47:19,4.8
6/15/2024 17:47:19,3.6
6/15/2024 17:47:20,2.4
6/15/2024 17:47:20,3.6
6/15/2024 17:47:21,3.6
6/15/2024 17:47:21,1.2
6/15/2024 17:47:22,3.6
6/15/2024 17:47:22,1.2
6/15/2024 17:47:23,3.6
6/15/2024 17:47:23,3.6
6/15/2024 17:47:24,3.6
6/15/2024 17:47:24,3.6
6/15/2024 17:47:25,3.6
6/15/2024 17:47:25,2.4
6/15/2024 17:47:26,1.2
6/15/2024 17:47:26,3.6
6/15/2024 17:47:27,3.6
6/15/2024 17:47:27,2.4
6/15/2024 17:47:28,3.6
6/15/2024 17:47:28,1.2
6/15/2024 17:47:29,3.6
6/15/2024 17:47:29,2.4
6/15/2024 17:47:30,1.2
6/15/2024 17:47:30,2.4
6/15/2024 17:47:31,1.2
6/15/2024 17:47:31,3.6
6/15/2024 17:47:32,0
6/15/2024 17:47:32,2.4
6/15/2024 17:47:33,1.2
6/15/2024 17:47:33,2.4
6/15/2024 17:47:34,1.2
6/15/2024 17:47:34,0
6/15/2024 17:47:35,2.4
6/15/2024 17:47:35,1.2
6/15/2024 17:47:36,0
6/15/2024 17:47:36,2.4
6/15/2024 17:47:37,1.2
6/15/2024 17:47:37,0
6/15/2024 17:47:38,2.4
6/15/2024 17:47:38,1.2
6/15/2024 17:47:39,0
6/15/2024 17:47:39,2.4
6/15/2024 17:47:40,2.4
6/15/2024 17:47:40,0
6/15/2024 17:47:41,2.4
6/15/2024 17:47:41,0
6/15/2024 17:47:42,1.2
6/15/2024 17:47:42,2.4
6/15/2024 17:47:43,0
6/15/2024 17:47:43,1.2
6/15/2024 17:47:44,0
6/15/2024 17:47:44,1.2
6/15/2024 17:47:45,0
6/15/2024 17:47:45,2.4
6/15/2024 17:47:46,0
6/15/2024 17:47:46,2.4
6/15/2024 17:47:47,1.2
6/15/2024 17:47:47,0
6/15/2024 17:47:48,2.4
6/15/2024 17:47:48,0
6/15/2024 17:47:49,1.2
6/15/2024 17:47:49,0
6/15/2024 17:47:50,2.4
6/15/2024 17:47:50,0
6/15/2024 17:47:51,2.4
6/15/2024 17:47:51,0
6/15/2024 17:47:52,2.4
6/15/2024 17:47:52,0
6/15/2024 17:47:53,0
6/15/2024 17:47:53,1.2
6/15/2024 17:47:54,0
6/15/2024 17:47:54,0
6/15/2024 17:47:55,2.4
6/15/2024 17:47:55,0
6/15/2024 17:47:56,0
6/15/2024 17:47:56,0
6/15/2024 17:47:57,1.2
6/15/2024 17:47:57,0
6/15/2024 17:47:58,0
6/15/2024 17:47:58,0
6/15/2024 17:47:59,2.4
6/15/2024 17:47:59,0
6/15/2024 17:48:00,0
6/15/2024 17:48:00,1.2
6/15/2024 17:48:01,0
6/15/2024 17:48:01,0
6/15/2024 17:48:02,2.4
6/15/2024 17:48:02,0
6/15/2024 17:48:03,0
6/15/2024 17:48:03,1.2
6/15/2024 17:48:04,0
6/15/2024 17:48:04,0
6/15/2024 17:48:05,0
6/15/2024 17:48:05,2.4
6/15/2024 17:48:06,0
6/15/2024 17:48:06,0
6/15/2024 17:48:07,0
6/15/2024 17:48:07,2.4
6/15/2024 17:48:08,0
6/15/2024 17:48:08,1.2
6/15/2024 17:48:09,0
6/15/2024 17:48:09,1.2
6/15/2024 17:48:10,0
6/15/2024 17:48:10,2.4
6/15/2024 17:48:11,1.2
6/15/2024 17:48:11,0
6/15/2024 17:48:12,2.4
6/15/2024 17:48:12,1.2
6/15/2024 17:48:13,2.4
6/15/2024 17:48:13,1.2
6/15/2024 17:48:14,2.4
6/15/2024 17:48:14,1.2
6/15/2024 17:48:15,2.4
6/15/2024 17:48:15,1.2
6/15/2024 17:48:16,2.4
6/15/2024 17:48:16,3.6
6/15/2024 17:48:17,1.2
6/15/2024 17:48:17,2.4
6/15/2024 17:48:18,3.6
6/15/2024 17:48:18,1.2
6/15/2024 17:48:19,3.6
6/15/2024 17:48:19,2.4
6/15/2024 17:48:20,1.2
6/15/2024 17:48:20,3.6
6/15/2024 17:48:21,1.2
6/15/2024 17:48:21,3.6
6/15/2024 17:48:22,3.6
6/15/2024 17:48:22,3.6
6/15/2024 17:48:23,3.6
6/15/2024 17:48:23,4.8
6/15/2024 17:48:24,3.6
6/15/2024 17:48:24,4.8
6/15/2024 17:48:25,3.6
6/15/2024 17:48:25,3.6
6/15/2024 17:48:26,3.6
6/15/2024 17:48:26,2.4
6/15/2024 17:48:27,4.8
6/15/2024 17:48:27,3.6
6/15/2024 17:48:28,1.2
6/15/2024 17:48:28,1.2
6/15/2024 17:48:29,4.8
6/15/2024 17:48:29,2.4
6/15/2024 17:48:30,2.4
6/15/2024 17:48:30,2.4
6/15/2024 17:48:31,2.4
6/15/2024 17:48:31,2.4
6/15/2024 17:48:32,2.4
6/15/2024 17:48:32,2.4
6/15/2024 17:48:33,0
6/15/2024 17:48:33,2.4
6/15/2024 17:48:34,2.4
6/15/2024 17:48:34,2.4
6/15/2024 17:48:35,0
6/15/2024 17:48:35,2.4
6/15/2024 17:48:36,0
6/15/2024 17:48:36,2.4
6/15/2024 17:48:37,2.4
6/15/2024 17:48:37,0
6/15/2024 17:48:38,2.4
6/15/2024 17:48:38,0
6/15/2024 17:48:39,0
6/15/2024 17:48:39,2.4
6/15/2024 17:48:40,0
6/15/2024 17:48:40,2.4
6/15/2024 17:48:41,0
6/15/2024 17:48:41,2.4
6/15/2024 17:48:42,0
6/15/2024 17:48:42,2.4
6/15/2024 17:48:43,2.4
6/15/2024 17:48:43,0
6/15/2024 17:48:44,2.4
6/15/2024 17:48:44,2.4
6/15/2024 17:48:45,0
6/15/2024 17:48:45,2.4
6/15/2024 17:48:46,2.4
6/15/2024 17:48:46,0
6/15/2024 17:48:47,2.4
6/15/2024 17:48:47,2.4
6/15/2024 17:48:48,0
6/15/2024 17:48:48,2.4
6/15/2024 17:48:49,1.2
6/15/2024 17:48:49,2.4
6/15/2024 17:48:50,2.4
6/15/2024 17:48:50,2.4
6/15/2024 17:48:51,2.4
6/15/2024 17:48:51,2.4
6/15/2024 17:48:52,2.4
6/15/2024 17:48:52,0
6/15/2024 17:48:53,2.4
6/15/2024 17:48:53,2.4
6/15/2024 17:48:54,0
6/15/2024 17:48:54,2.4
6/15/2024 17:48:55,2.4
6/15/2024 17:48:55,2.4
6/15/2024 17:48:56,0
6/15/2024 17:48:56,2.4
6/15/2024 17:48:57,2.4
6/15/2024 17:48:57,2.4
6/15/2024 17:48:58,1.2
6/15/2024 17:48:58,0
6/15/2024 17:48:59,2.4
6/15/2024 17:48:59,1.2
6/15/2024 17:49:00,0
6/15/2024 17:49:00,2.4
6/15/2024 17:49:01,2.4
6/15/2024 17:49:01,0
6/15/2024 17:49:02,2.4
6/15/2024 17:49:02,0
6/15/2024 17:49:03,2.4
6/15/2024 17:49:03,2.4
6/15/2024 17:49:04,0
6/15/2024 17:49:04,2.4
6/15/2024 17:49:05,0
6/15/2024 17:49:05,1.2
6/15/2024 17:49:06,0
6/15/2024 17:49:06,2.4
6/15/2024 17:49:07,0
6/15/2024 17:49:07,2.4
6/15/2024 17:49:08,0
6/15/2024 17:49:08,1.2
6/15/2024 17:49:09,0
6/15/2024 17:49:09,2.4
6/15/2024 17:49:10,0
6/15/2024 17:49:10,2.4
6/15/2024 17:49:11,0
6/15/2024 17:49:11,2.4
6/15/2024 17:49:12,0
6/15/2024 17:49:12,2.4
6/15/2024 17:49:13,0
6/15/2024 17:49:13,2.4
6/15/2024 17:49:14,2.4
6/15/2024 17:49:15,2.4
6/15/2024 17:49:15,0
6/15/2024 17:49:16,2.4
6/15/2024 17:49:16,0
6/15/2024 17:49:17,2.4
6/15/2024 17:49:17,2.4
6/15/2024 17:49:18,0
6/15/2024 17:49:18,2.4
6/15/2024 17:49:19,0
6/15/2024 17:49:19,2.4
6/15/2024 17:49:20,2.4
6/15/2024 17:49:20,0
6/15/2024 17:49:21,2.4
6/15/2024 17:49:21,0
6/15/2024 17:49:22,2.4
6/15/2024 17:49:22,0
6/15/2024 17:49:23,2.4
6/15/2024 17:49:23,2.4
6/15/2024 17:49:24,0
6/15/2024 17:49:24,2.4
6/15/2024 17:49:25,0
6/15/2024 17:49:25,2.4
6/15/2024 17:49:26,0
