duration1,duration2,temperature,humidity,speedlevel
574,584,27.5,58.9,12.2
574,560,27.5,58.9,12.2
574,558,27.4,58.9,12.2
574,591,27.4,58.9,12.2
567,567,27.3,59.1,12.2
594,564,27.3,59.1,12.2
568,567,27.3,59,12.2
568,558,27.3,59,12.2
568,585,27.3,58.8,12.2
576,560,27.3,58.8,12.2
574,561,27.3,58.9,12.2
600,591,27.3,58.9,12.2
574,590,27.4,58.8,12.2
594,563,27.4,58.8,12.2
568,567,27.3,58.8,12.2
594,558,27.3,58.8,12.2
568,557,27.4,58.8,12.2
573,560,27.4,58.8,12.2
598,584,27.4,58.9,12.2
600,588,27.4,58.9,12.2
598,566,27.4,58.8,12.2
594,567,27.4,58.8,12.2
567,564,27.4,58.8,12.2
567,584,27.4,58.8,12.2
592,557,27.4,58.9,12.2
568,557,27.4,58.9,12.2
574,558,27.3,58.6,12.2
