duration1,duration2,temperature,humidity,speedlevel
564,561,27.3,58.6,0
564,560,27.3,58.6,0
570,560,27.4,58.5,0
570,561,27.4,58.5,0
571,561,27.4,58.4,0
570,566,27.4,58.4,0
564,567,27.4,58.3,0
564,567,27.4,58.3,0
564,562,27.3,58.1,0
564,561,27.3,58.1,0
565,561,27.3,58,0
571,560,27.3,58,0
570,567,27.3,58.3,0
570,567,27.3,58.3,0
564,567,27.2,58.2,0
564,566,27.2,58.2,0
565,561,27.3,57.9,0
565,560,27.3,57.9,0
565,560,27.3,57.8,0
570,561,27.3,57.8,0
571,567,27.3,58.2,0
564,567,27.3,58.2,0
564,567,27.3,58,0
564,561,27.3,58,0
565,560,27.3,58.2,0
571,561,27.3,58.2,0
571,560,27.2,58.3,0
570,566,27.2,58.3,0
570,567,27.3,58.2,0
564,567,27.3,58.2,0
565,567,27.3,58.3,0
565,567,27.3,58.3,0
564,561,27.3,58.4,0
564,560,27.3,58.4,0
571,560,27.3,58.5,0
571,560,27.3,58.5,0
571,566,27.4,58.5,0
570,567,27.4,58.5,0
565,567,27.3,58.5,0
564,567,27.3,58.5,0
564,567,27.2,58.4,0
564,560,27.2,58.4,0
565,561,27.3,58.6,0
570,560,27.3,58.6,0
571,560,27.3,58.4,0
568,566,27.3,58.4,0
564,567,27.3,58.4,0
564,560,27.3,58.4,0
565,560,27.3,58.3,0
564,560,27.3,58.3,0
564,560,27.3,58.4,0
571,561,27.3,58.4,0
571,562,27.2,58,0
564,567,27.2,58,0
564,567,27.3,58.2,0
564,560,27.3,58.2,0
564,560,27.3,58.3,0
564,560,27.3,58.3,0
564,560,27.3,57.9,0
571,560,27.3,57.9,0
570,560,27.3,58.3,0
570,566,27.3,58.3,0
571,567,27.2,58.1,0
564,566,27.2,58.1,0
564,567,27.3,57.8,0
564,560,27.3,57.8,0
564,561,27.3,58.3,0
570,560,27.3,58.3,0
570,561,27.3,58.3,0
571,560,27.3,58.3,0
571,567,27.3,58.4,0
564,567,27.3,58.4,0
565,566,27.3,58.2,0
564,566,27.3,58.2,0
565,567,27.3,58,0
564,560,27.3,58,0
564,560,27.3,58,0
570,561,27.3,58,0
571,561,27.2,58.2,0
570,567,27.2,58.2,0
570,566,27.2,58.1,0
564,566,27.2,58.1,0
564,566,27.3,58,0
564,560,27.3,58,0
564,561,27.4,57.9,0
570,561,27.4,57.9,0
570,561,27.3,57.9,0
570,561,27.3,57.9,0
571,560,27.4,57.8,0
570,567,27.4,57.8,0
570,567,27.2,57.9,0
564,567,27.2,57.9,0
565,567,27.3,58,0
564,561,27.3,58,0
565,560,27.3,58,0
570,560,27.3,58,0
570,560,27.3,57.8,0
570,567,27.3,57.8,0
571,567,27.3,57.8,0
564,567,27.3,57.8,0
