duration1,duration2,temperature,Humidity,Direction,Velocity
596,557,27,64.9,0,19.1
596,558,27,65,0,19.1
602,558,27,65,0,19.1
576,558,27,65.1,0,19.1
599,558,27,65.1,0,19.1
576,563,27,65,0,19.1
602,564,27,65,0,19.1
571,563,27,64.9,0,19.1
572,567,27,64.9,0,19.1
596,563,27.1,65,0,19.1
570,567,27.1,65,0,19.1
593,557,27,65,0,19.1
596,584,27,65,0,19.1
573,557,27,65.1,0,19.1
572,557,27,65.1,0,19.1
576,557,27,64.9,0,19.1
602,584,27,64.9,0,19.1
579,584,27.1,65,0,19.1
602,557,27.1,65,0,19.1
576,567,27,65,0,19.1
602,567,27,65,0,19.1
570,564,27.1,65.1,0,19.1
569,590,27.1,65.1,0,19.1
596,564,27,64.9,0,19.1
596,563,27,64.9,0,19.1
